535,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
536,1,1.01E-110,0,2.80E-141,2.87E-36,7.48E-30,2.37E-304,2.96E-19,0,8.61E-272,1.44E-36,1.01E-232
537,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
538,7.19E-12,0.199210156,1.09E-98,1.59E-07,8.65E-19,1.68E-19,9.19E-05,3.00E-09,3.56E-77,1.41E-38,0.800697742,8.98E-26
539,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
540,8.00E-07,1.20E-54,0,6.75E-259,1.24E-92,1.02E-78,5.55E-155,1.65E-42,3.40E-276,1.44E-243,0.9999992,4.91E-248
541,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
542,3.28E-37,0.000725548,1.84E-13,0.999151763,1.71E-65,1.36E-46,3.89E-25,3.77E-34,2.30E-11,0.000115957,3.17E-21,6.73E-06
543,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
544,5.07E-69,1,1.01E-229,2.25E-69,1.01E-77,1.03E-58,2.84E-171,4.09E-57,4.38E-232,1.01E-144,1.91E-51,1.66E-134
545,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
546,1.28E-28,4.20E-25,1.58E-101,5.00E-176,9.35E-110,2.03E-85,1,6.78E-47,0,7.71E-54,5.07E-12,0
547,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
548,5.99E-198,5.86E-36,1.45E-14,2.36E-56,3.00E-146,1.86E-116,5.82E-138,3.04E-243,4.14E-43,1,1.22E-78,3.97E-127
549,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
550,7.90E-47,1,3.56E-79,7.38E-22,5.80E-73,2.57E-76,1.47E-75,1.35E-95,3.20E-65,9.53E-51,2.49E-35,1.82E-85
