"","V1","V5","V10","V3","V12","V9","V11","V7","V8","V2","V13","V4","V6"
"1733",2079,"Aeschylus","Iliad","Odyssey","Hesiod","Sophocles","Athenaeus","Hdt","Thucydides","Polybius","Plutarch","Diodorus","Lysias"
"1734",2080,"1","9.67e-20","1.63e-22","4.24e-23","4.17e-41","3.7e-51","5.5e-52","1.18e-159","7.3e-211","4.89e-212","0","0"
"1735",2081,"Hdt","Thucydides","Odyssey","Iliad","Hesiod","Plutarch","Polybius","Sophocles","Athenaeus","Aeschylus","Lysias","Diodorus"
"1736",2082,"1","4.67e-14","3.02e-24","4.47e-25","8.42e-55","1.92e-62","1.13e-67","1.5e-79","8.25e-90","1.32e-95","1.02e-118","1.6e-124"
"1737",2083,"Aeschylus","Sophocles","Odyssey","Hesiod","Athenaeus","Iliad","Hdt","Plutarch","Lysias","Diodorus","Polybius","Thucydides"
"1738",2084,"1","2.03e-24","7.2e-35","1.58e-41","2.81e-52","2.37e-53","1.75e-179","7.02e-284","2.88e-284","0","0","0"
"1739",2085,"Diodorus","Polybius","Hdt","Athenaeus","Hesiod","Thucydides","Plutarch","Aeschylus","Iliad","Odyssey","Sophocles","Lysias"
"1740",2086,"0.999999999","7.21e-10","1.45e-29","4.31e-60","4.59e-74","3.3e-74","4.99e-82","7.43e-100","1.81e-105","2.07e-141","9.83e-152","0"
"1741",2087,"Iliad","Odyssey","Sophocles","Hesiod","Aeschylus","Athenaeus","Hdt","Polybius","Lysias","Thucydides","Diodorus","Plutarch"
"1742",2088,"0.999998116","1.88e-06","5.52e-14","1.02e-14","3.93e-22","1.12e-63","4.82e-103","2.34e-207","2.92e-233","1.76e-253","0","0"
"1743",2089,"Athenaeus","Lysias","Polybius","Sophocles","Hdt","Plutarch","Iliad","Odyssey","Aeschylus","Thucydides","Hesiod","Diodorus"
"1744",2090,"0.527874071","0.472125927","2.15e-09","7.7e-13","1.9e-17","2.4e-24","1.98e-26","7.21e-28","1.37e-37","1.95e-58","2.01e-60","8.22e-135"
"1745",2091,"Polybius","Diodorus","Plutarch","Hdt","Athenaeus","Sophocles","Thucydides","Iliad","Aeschylus","Odyssey","Hesiod","Lysias"
"1746",2092,"1","5.8e-14","9.18e-19","1.03e-29","1.21e-45","3.38e-62","1.94e-63","1.14e-67","1.09e-92","8.9e-106","3.97e-107","2.2e-210"
"1747",2093,"Plutarch","Hdt","Athenaeus","Polybius","Thucydides","Sophocles","Aeschylus","Odyssey","Iliad","Hesiod","Diodorus","Lysias"
"1748",2094,"1","6.41e-12","8.29e-15","8.01e-17","3.8e-23","2.47e-33","3.05e-45","1.63e-45","3.16e-56","1.82e-82","7.51e-124","3.92e-259"
"1749",2095,"Thucydides","Hdt","Plutarch","Odyssey","Polybius","Athenaeus","Iliad","Hesiod","Diodorus","Sophocles","Lysias","Aeschylus"
"1750",2096,"0.99649085","0.00350915","1.96e-14","9.2e-29","5.07e-29","7.92e-34","1.95e-36","1e-53","2.38e-80","6.93e-97","5.58e-123","1.47e-133"
"1751",2097,"Hdt","Polybius","Athenaeus","Plutarch","Aeschylus","Thucydides","Iliad","Odyssey","Hesiod","Sophocles","Diodorus","Lysias"
"1752",2098,"0.999998837","1.16e-06","6.75e-12","1e-25","2.91e-28","3.43e-43","8.46e-48","3.43e-50","4.15e-52","3.83e-54","1.25e-100","4.54e-105"
"1753",2099,"Diodorus","Thucydides","Hdt","Polybius","Plutarch","Hesiod","Iliad","Athenaeus","Odyssey","Sophocles","Aeschylus","Lysias"
